NO,NO. NOTA PENJUALAN,TANGGAL PENJUALAN,NAMA PENJUAL,NAMA PEMBELI,Ur Barang,Jumlah Satuan,Kd Satuan,Netto,Bruto,Fob Valuta,KODE VALUTA,NDPBM,FOB DALAM RUPIAH
313,000409,2/4/2023,PT. SAIPEM INDONESIA,LEEDEN NATIONAL OXYGEN LTD,"USED, EMPTY ATAL RACK (16 CYLINDER/RACK): 21826, 28113, 27262, 27138, 24762, 22752, 26298, 26077 #NON COMMERCIAL VALUE",8.00,RA,"10,400.00","10,400.00","4,000.00",USD,"14,958.00","59,832,000.00"
314,000409,2/4/2023,PT. SAIPEM INDONESIA,LEEDEN NATIONAL OXYGEN LTD,"USED, EMPTY NORMAL ARGON RACK (16 CYLINDER/RACK): 29067, 21568, 21449, 28424, 21007, 29310, 21426, 21937, 28131, 21914, 21569, 27481, 23018, 21573 #NON COMMERCIAL VALUE",14.00,RA,"18,200.00","18,200.00","7,000.00",USD,"14,958.00","104,706,000.00"
315,000410,2/4/2023,PT. SAIPEM INDONESIA,AVER ASIA (S) PTE LTD,"USED, BOOMLIFT, UNIT NO. : 1350-4, MAKE / MODEL : JLG 1350SJP, SERIAL NO. : 0300148558, COUNTRY OF ORIGIN : UNITED STATES, Y.O.M : 2021 #NON COMMERCIAL VALUE",1.00,NIU,"20,411.00","20,411.00","195,206.05",USD,"14,958.00","2,919,892,095.90"
316,000410,2/4/2023,PT. SAIPEM INDONESIA,AVER ASIA (S) PTE LTD,"USED, BOOMLIFT, UNIT NO. : SX125-2, MAKE / MODEL : GENIE SX-125 XC, SERIAL NO. : SX125D-1753, COUNTRY OF ORIGIN : UNITED STATES, Y.O.M : 2021 #NON COMMERCIAL VALUE",1.00,NIU,"20,700.00","20,700.00","187,397.81",USD,"14,958.00","2,803,096,441.98"
317,000410,2/4/2023,PT. SAIPEM INDONESIA,AVER ASIA (S) PTE LTD,"USED, BOOMLIFT, UNIT NO. : 778, MAKE / MODEL : GENIE S -125, SERIAL NO. : S12507-1805, COUNTRY OF ORIGIN : UNITED STATES, Y.O.M : 2007 #NON COMMERCIAL VALUE",1.00,NIU,"20,248.00","20,248.00","152,260.72",USD,"14,958.00","2,277,515,849.76"
318,000410,2/4/2023,PT. SAIPEM INDONESIA,AVER ASIA (S) PTE LTD,"USED, COMPRESSOR, UNIT NO. : C7521, MAKE / MODEL : AIRMAN PDSF750S-4B3, SERIAL NO. : 86-4B30122, COUNTRY OF ORIGIN : JAPAN, Y.O.M : 2015 #NON COMMERCIAL VALUE",1.00,NIU,"3,570.00","3,570.00","46,849.45",USD,"14,958.00","700,774,073.10"
319,000410,2/4/2023,PT. SAIPEM INDONESIA,AVER ASIA (S) PTE LTD,"USED, COMPRESSOR, UNIT NO. : C7525, MAKE / MODEL : AIRMAN PDSF750S-4B3, SERIAL NO. : 83-4B30153, COUNTRY OF ORIGIN : JAPAN, Y.O.M : 2015 #NON COMMERCIAL VALUE",1.00,NIU,"3,570.00","3,570.00","50,753.57",USD,"14,958.00","759,171,900.06"
320,000410,2/4/2023,PT. SAIPEM INDONESIA,AVER ASIA (S) PTE LTD,"USED, COMPRESSOR, UNIT NO. : C7542, MAKE / MODEL : AIRMAN PDSF750S-4B3, SERIAL NO. : 83-4B30172, COUNTRY OF ORIGIN : JAPAN, Y.O.M : 2015 #NON COMMERCIAL VALUE",1.00,NIU,"3,570.00","3,570.00","50,753.57",USD,"14,958.00","759,171,900.06"
321,000410,2/4/2023,PT. SAIPEM INDONESIA,AVER ASIA (S) PTE LTD,"USED, COMPRESSOR, UNIT NO. : C9188, MAKE / MODEL : INGERSOLL RAND HP935WCU-T1, SERIAL NO. : 412369UCU708, COUNTRY OF ORIGIN : UNITED STATES, Y.O.M : 2010 #NON COMMERCIAL VALUE",1.00,NIU,"4,322.00","4,322.00","62,465.94",USD,"14,958.00","934,365,530.52"
322,000410,2/4/2023,PT. SAIPEM INDONESIA,AVER ASIA (S) PTE LTD,"USED, AIRDRYER C/W AFTER COOLER , UNIT NO. : D33 (AD9023), MAKE / MODEL : PARKER MXP106 ATEX, SERIAL NO. : 21MXP02083, COUNTRY OF ORIGIN : UNITED KINGDOM, Y.O.M : 2021 #NON COMMERCIAL VALUE",1.00,NIU,"1,500.00","1,500.00","62,465.94",USD,"14,958.00","934,365,530.52"
323,000410,2/4/2023,PT. SAIPEM INDONESIA,AVER ASIA (S) PTE LTD,"USED, AIRDRYER C/W AFTER COOLER , UNIT NO. : D28 (AD9026), MAKE / MODEL : PARKER MXP106 ATEX, SERIAL NO. : 18MXP04144, COUNTRY OF ORIGIN : UNITED KINGDOM, Y.O.M : 2018 #NON COMMERCIAL VALUE",1.00,NIU,"1,500.00","1,500.00","105,411.27",USD,"14,958.00","1,576,741,776.66"
324,000411,2/4/2023,PT. SAIPEM INDONESIA,GAS OIL SERVICES PTE LTD,"NEW, LOADCELL RLP35T TE TENSILE LINK, CAPACITY MAX:35T
SERIAL NO LC:19325 / IND:23778
BRAND: RADIOLINK PLUS
C/W WIRELESS HAND HELD PLUS #NON COMMERCIAL VALUE
",1.00,SET,10.00,10.00,"10,000.00",USD,"14,958.00","149,580,000.00"
325,000412,2/4/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"NEW, NPS1: 12 - SCHED.1 S-140 NPS2: 3 - SCHED.2 S-80S   SWEEPOLET MSS-SP-97 B564-UNS N06625 BE NACE MR0175 / ISO 15156 ",2.00,PCE,4.47,4.47,753.84,USD,"14,958.00","11,275,938.72"
326,000412,2/4/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"NEW, NPS1: 12 - SCHED.1 S-140 NPS2: 2 - SCHED.2 S-80S   SWEEPOLET MSS-SP-97 B564-UNS N06625 BE NACE MR0175 / ISO 15156",9.00,PCE,20.13,20.13,"1,720.38",USD,"14,958.00","25,733,444.04"
327,000412,2/4/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"NEW, NPS1: 24 - SCHED.1 S-140 NPS2: 2 - SCHED.2 S-80S   SWEEPOLET MSS-SP-97 B564-UNS N06625 BE NACE MR0175 / ISO 15156",12.00,PCE,92.31,92.31,"7,194.00",USD,"14,958.00","107,607,852.00"
328,000412,2/4/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"NEW, NPS1: 30 - SCHED.1 S-55.50 NPS2: 2 - SCHED.2 S-80S SWEEPOLET MSS-SP-97 B564-UNS N06625 BE NACE MR0175 / ISO 15156",4.00,PCE,30.77,30.77,"1,421.53",USD,"14,958.00","21,263,245.74"
329,000412,2/4/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"NEW, NPS1: 32 - SCHED.1 S-59.0 NPS2: .75 - SCHED.2 S-80S   SWEEPOLET MSS-SP-97 B564-UNS N06625 BE NACE MR0175 / ISO 15156 ",4.00,PCE,30.77,30.77,560.00,USD,"14,958.00","8,376,480.00"
330,000412,2/4/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"NEW, NPS1: 32 - SCHED.1 S-59.0 NPS2: 2 - SCHED.2 S-80S   SWEEPOLET MSS-SP-97 B564-UNS N06625 BE NACE MR0175 / ISO 15156",2.00,PCE,15.38,15.38,"1,362.50",USD,"14,958.00","20,380,275.00"
331,000412,2/4/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"NEW, NPS1: 30 - SCHED.1 S-55.50 NPS2: 2 - SCHED.2 S-80S   SWEEPOLET MSS-SP-97 B564-UNS N06625 BE NACE MR0175 / ISO 15156 ",1.00,PCE,33.33,33.33,355.38,USD,"14,958.00","5,315,774.04"
332,000412,2/4/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"NEW, NPS1: 30 - SCHED.1 S-55.50 NPS2: 2 - SCHED.2 S-80S   SWEEPOLET MSS-SP-97 B564-UNS N06625 BE NACE MR0175 / ISO 15156",4.00,PCE,13.57,13.57,"1,421.53",USD,"14,958.00","21,263,245.74"
333,000412,2/4/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"NEW, NPS1: 32 - SCHED.1 S-59.0 NPS2: .75 - SCHED.2 S-80S   SWEEPOLET MSS-SP-97 B564-UNS N06625 BE NACE MR0175 / ISO 15156 ",4.00,PCE,13.57,13.57,560.00,USD,"14,958.00","8,376,480.00"
334,000412,2/4/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"NEW, NPS1: 32 - SCHED.1 S-59.0 NPS2: 2 - SCHED.2 S-80S   SWEEPOLET MSS-SP-97 B564-UNS N06625 BE NACE MR0175 / ISO 15156 ",2.00,PCE,6.79,6.79,"1,362.50",USD,"14,958.00","20,380,275.00"
335,000412,2/4/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"NEW, NPS1: 10 - SCHED.1 S-140 NPS2: 2 - SCHED.2 S-80S   SWEEPOLET MSS-SP-97 B564-UNS N06625 BE NACE MR0175 / ISO 15156 ",2.00,PCE,11.43,11.43,382.31,USD,"14,958.00","5,718,592.98"
336,000412,2/4/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"NEW, NPS1: 28 - SCHED.1 S-52.0 NPS2: 1.5 - SCHED.2 S-80S   SWEEPOLET MSS-SP-97 B564-UNS N06625 BE NACE MR0175 / ISO 15156 ",4.00,PCE,22.86,22.86,926.15,USD,"14,958.00","13,853,351.70"
337,000412,2/4/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"NEW, NPS1: 28 - SCHED.1 S-52.0 NPS2: 2 - SCHED.2 S-80S   SWEEPOLET MSS-SP-97 B564-UNS N06625 BE NACE MR0175 / ISO 15156",10.00,PCE,57.14,57.14,"5,995.00",USD,"14,958.00","89,673,210.00"
338,000412,2/4/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"NEW, NPS1: 28 - SCHED.1 S-39.0 NPS2: 2 - SCHED.2 S-80S   SWEEPOLET MSS-SP-97 B564-UNS N06625 BE NACE MR0175 / ISO 15156 (RP6S-NG233230001-F28B-S01 Pos 6)",9.00,PCE,51.43,51.43,"2,907.68",USD,"14,958.00","43,493,077.44"
339,000412,2/4/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"NEW, NPS1: 28 - SCHED.1 S-52.0 NPS2: 4 - SCHED.2 S-80S   SWEEPOLET MSS-SP-97 B564-UNS N06625 BE NACE MR0175 / ISO 15156 (RP6S-NG233230003-F25B-S10 Pos 45)",5.00,PCE,28.57,28.57,"4,442.30",USD,"14,958.00","66,447,923.40"
340,000412,2/4/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"NEW, NPS1: 30 - SCHED.1 S-55.50 NPS2: .75 - SCHED.2 S-80S   SWEEPOLET MSS-SP-97 B564-UNS N06625 BE NACE MR0175 / ISO 15156 (RP6S-NG233230010-F25B-S05 Pos 34)",2.00,PCE,11.43,11.43,258.46,USD,"14,958.00","3,866,044.68"
341,000412,2/4/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"NEW, NPS1: 30 - SCHED.1 S-55.50 NPS2: 2 - SCHED.2 S-80S   SWEEPOLET MSS-SP-97 B564-UNS N06625 BE NACE MR0175 / ISO 15156 (RP6S-NG233230010-F25B-S04 Pos 30)",4.00,PCE,22.86,22.86,"1,421.53",USD,"14,958.00","21,263,245.74"
342,000412,2/4/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"NEW, NPS1: 46 - SCHED.1 S-84.0 NPS2: .75 - SCHED.2 S-80S   SWEEPOLET MSS-SP-97 B564-UNS N06625 BE NACE MR0175 / ISO 15156 (RP6S-NG233230011-F25B-S06 Pos 66)",2.00,PCE,11.43,11.43,323.08,USD,"14,958.00","4,832,630.64"
343,000412,2/4/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"NEW, NPS1: 46 - SCHED.1 S-84.0 NPS2: 2 - SCHED.2 S-80S   SWEEPOLET MSS-SP-97 B564-UNS N06625 BE NACE MR0175 / ISO 15156 (RP6S-NG233230011-F25B-S06 Pos 94)",3.00,PCE,17.14,17.14,"1,229.32",USD,"14,958.00","18,388,168.56"
344,000412,2/4/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"NEW, NPS1: 6 - SCHED.1 S-120 NPS2: 2 - SCHED.2 S-80S SWEEPOLET MSS-SP-97 B564-UNS N06625 BE NACE MR0175 / ISO 15156 ",1.00,PCE,4.17,4.17,191.15,USD,"14,958.00","2,859,221.70"
345,000412,2/4/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"NEW, NPS1: 8 - SCHED.1 S-120 NPS2: 2 - SCHED.2 S-80S   SWEEPOLET MSS-SP-97 B564-UNS N06625 BE NACE MR0175 / ISO 15156",1.00,PCE,4.17,4.17,191.15,USD,"14,958.00","2,859,221.70"
346,000412,2/4/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"NEW, NPS1: 24 - SCHED.1 S-140 NPS2: .75 - SCHED.2 S-80S   SWEEPOLET MSS-SP-97 B564-UNS N06625 BE NACE MR0175 / ISO 15156 ",2.00,PCE,8.33,8.33,258.46,USD,"14,958.00","3,866,044.68"
347,000412,2/4/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"NEW, NPS1: 24 - SCHED.1 S-140 NPS2: 2 - SCHED.2 S-80S   SWEEPOLET MSS-SP-97 B564-UNS N06625 BE NACE MR0175 / ISO 15156 ",1.00,PCE,4.17,4.17,599.50,USD,"14,958.00","8,967,321.00"
348,000412,2/4/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"NEW, NPS1: 24 - SCHED.1 S-33.50 NPS2: 2 - SCHED.2 S-80S   SWEEPOLET MSS-SP-97 B564-UNS N06625 BE NACE MR0175 / ISO 15156",3.00,PCE,12.50,12.50,969.23,USD,"14,958.00","14,497,742.34"
349,000412,2/4/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"NEW, NPS1: 12 - SCHED.1 S-140 NPS2: 1 - SCHED.2 S-80S   SWEEPOLET MSS-SP-97 B564-UNS N06625 BE NACE MR0175 / ISO 15156 (WHP12S-NG220230004-F25B-S09 Pos 172)",1.00,PCE,1.53,1.53,107.69,USD,"14,958.00","1,610,827.02"
350,000412,2/4/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"NEW, NPS1: 12 - SCHED.1 S-140 NPS2: 1.5 - SCHED.2 S-80S   SWEEPOLET MSS-SP-97 B564-UNS N06625 BE NACE MR0175 / ISO 15156 (WHP12S-NG220230025-F25B-S03 Pos 65)",2.00,PCE,3.05,3.05,323.08,USD,"14,958.00","4,832,630.64"
351,000412,2/4/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"NEW, NPS1: 12 - SCHED.1 S-140 NPS2: 2 - SCHED.2 S-80S   SWEEPOLET MSS-SP-97 B564-UNS N06625 BE NACE MR0175 / ISO 15156 (WHP12S-NG220230004-F25B-S06 Pos 64)",21.00,PCE,32.05,32.05,"4,014.22",USD,"14,958.00","60,044,702.76"
352,000412,2/4/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"NEW, NPS1: 26 - SCHED.1 S-48.5 NPS2: .75 - SCHED.2 S-80S   SWEEPOLET MSS-SP-97 B564-UNS N06625 BE NACE MR0175 / ISO 15156 (WHP12S-NG220230001-F25B-S05 Pos 79)",6.00,PCE,9.16,9.16,775.38,USD,"14,958.00","11,598,134.04"
353,000412,2/4/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"NEW, NPS1: 26 - SCHED.1 S-48.5 NPS2: 2 - SCHED.2 S-80S   SWEEPOLET MSS-SP-97 B564-UNS N06625 BE NACE MR0175 / ISO 15156 (WHP12S-NG220230001-F25B-S03 Pos 44)",4.00,PCE,6.11,6.11,"1,130.77",USD,"14,958.00","16,914,057.66"
354,000412,2/4/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"NEW, NPS1: 28 - SCHED.1 S-39.0 NPS2: 2 - SCHED.2 S-80S   SWEEPOLET MSS-SP-97 B564-UNS N06625 BE NACE MR0175 / ISO 15156 (WHP12S-NG220230003-F28B-S02 Pos 12)",3.00,PCE,4.58,4.58,969.23,USD,"14,958.00","14,497,742.34"
355,000412,2/4/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"NEW, NPS1: 28 - SCHED.1 S-39.0 NPS2: 4 - SCHED.2 S-80S   SWEEPOLET MSS-SP-97 B564-UNS N06625 BE NACE MR0175 / ISO 15156 (WHP12S-NG220230003-F28B-S01 Pos 6)",1.00,PCE,1.53,1.53,861.54,USD,"14,958.00","12,886,915.32"
356,000412,2/4/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"NEW, NPS1: 12 - SCHED.1 S-140 NPS2: .75 - SCHED.2 S-80S   SWEEPOLET MSS-SP-97 B564-UNS N06625 BE NACE MR0175 / ISO 15156 (WHP12S-NG220230925-F25B-S02 Pos 23)",4.00,PCE,16.67,16.67,398.46,USD,"14,958.00","5,960,164.68"
357,000412,2/4/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"NEW, NPS1: 12 - SCHED.1 S-140 NPS2: 2 - SCHED.2 S-80S   SWEEPOLET MSS-SP-97 B564-UNS N06625 BE NACE MR0175 / ISO 15156 (WHP12S-NG220230925-F25B-S02 Pos 13)",4.00,PCE,16.67,16.67,764.61,USD,"14,958.00","11,437,036.38"
358,000412,2/4/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"NEW, NPS1: 12 - SCHED.1 S-140 NPS2: .75 - SCHED.2 S-80S   SWEEPOLET MSS-SP-97 B564-UNS N06625 BE NACE MR0175 / ISO 15156 (WHP13S-NG225230004-F25B-S04 Pos 21)",20.00,PCE,11.76,11.76,"1,992.30",USD,"14,958.00","29,800,823.40"
359,000412,2/4/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"NEW, NPS1: 12 - SCHED.1 S-140 NPS2: 1.5 - SCHED.2 S-80S   SWEEPOLET MSS-SP-97 B564-UNS N06625 BE NACE MR0175 / ISO 15156 (WHP13S-NG225230037-F25B-S03 Pos 71)",1.00,PCE,0.59,0.59,161.54,USD,"14,958.00","2,416,315.32"
360,000412,2/4/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"NEW, NPS1: 12 - SCHED.1 S-140 NPS2: 2 - SCHED.2 S-80S   SWEEPOLET MSS-SP-97 B564-UNS N06625 BE NACE MR0175 / ISO 15156 (WHP13S-NG225230004-F25B-S05 Pos 53)",19.00,PCE,11.18,11.18,"3,631.91",USD,"14,958.00","54,326,109.78"
361,000412,2/4/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"NEW, NPS1: 26 - SCHED.1 S-48.5 NPS2: .75 - SCHED.2 S-80S   SWEEPOLET MSS-SP-97 B564-UNS N06625 BE NACE MR0175 / ISO 15156 (WHP13S-NG225230001-F25B-S02 Pos 14)",6.00,PCE,3.53,3.53,775.38,USD,"14,958.00","11,598,134.04"
362,000412,2/4/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"NEW, NPS1: 26 - SCHED.1 S-48.5 NPS2: 2 - SCHED.2 S-80S   SWEEPOLET MSS-SP-97 B564-UNS N06625 BE NACE MR0175 / ISO 15156 (WHP13S-NG225230001-F25B-S03 Pos 44)",4.00,PCE,2.35,2.35,"1,130.77",USD,"14,958.00","16,914,057.66"
363,000412,2/4/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"NEW, NPS1: 28 - SCHED.1 S-39.0 NPS2: 2 - SCHED.2 S-80S   SWEEPOLET MSS-SP-97 B564-UNS N06625 BE NACE MR0175 / ISO 15156 (WHP13S-NG225230003-F28B-S02 Pos 12)",1.00,PCE,0.59,0.59,323.08,USD,"14,958.00","4,832,630.64"
364,000412,2/4/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"NEW, NPS1: 12 - SCHED.1 S-140 NPS2: .75 - SCHED.2 S-80S SWEEPOLET MSS-SP-97 B564-UNS N06625 BE NACE MR0175 / ISO 15156 (WHP13S-NG225230931-F25B-S02 Pos 23)",3.00,PCE,16.67,16.67,298.85,USD,"14,958.00","4,470,198.30"
365,000412,2/4/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"NEW, NPS1: 12 - SCHED.1 S-140 NPS2: 2 - SCHED.2 S-80S SWEEPOLET MSS-SP-97 B564-UNS N06625 BE NACE MR0175 / ISO 15156 (WHP13S-NG225230931-F25B-S02 Pos 13)",3.00,PCE,16.67,16.67,573.46,USD,"14,958.00","8,577,814.68"
366,000412,2/4/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"NEW, NPS1: 12 - SCHED.1 S-140 NPS2: .75 - SCHED.2 S-80S   SWEEPOLET MSS-SP-97 B564-UNS N06625 BE NACE MR0175 / ISO 15156 (WHP14S-NG230230028-F25B-S04 Pos 79)",6.00,PCE,23.05,23.05,597.69,USD,"14,958.00","8,940,247.02"
367,000412,2/4/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"NEW, NPS1: 26 - SCHED.1 S-48.5 NPS2: .75 - SCHED.2 S-80S   SWEEPOLET MSS-SP-97 B564-UNS N06625 BE NACE MR0175 / ISO 15156 (WHP14S-NG230230001-F25B-S05 Pos 79)",6.00,PCE,23.05,23.05,"1,146.92",USD,"14,958.00","17,155,629.36"
368,000412,2/4/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"NEW, NPS1: 26 - SCHED.1 S-48.5 NPS2: 1.5 - SCHED.2 S-80S   SWEEPOLET MSS-SP-97 B564-UNS N06625 BE NACE MR0175 / ISO 15156 (WHP14S-NG230230001-F25B-S04 Pos 60)",6.00,PCE,23.05,23.05,775.38,USD,"14,958.00","11,598,134.04"
369,000412,2/4/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"NEW, NPS1: 28 - SCHED.1 S-39.0 NPS2: 2 - SCHED.2 S-80S   SWEEPOLET MSS-SP-97 B564-UNS N06625 BE NACE MR0175 / ISO 15156 (WHP14S-NG230230003-F28B-S02 Pos 14)",1.00,PCE,3.84,3.84,140.00,USD,"14,958.00","2,094,120.00"
370,000412,2/4/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"NEW, NPS1: 12 - SCHED.1 S-140 NPS2: .75 - SCHED.2 S-80S   SWEEPOLET MSS-SP-97 B564-UNS N06625 BE NACE MR0175 / ISO 15156 (WHP14S-NG230230928-F25B-S01 Pos 7)",4.00,PCE,16.67,16.67,398.46,USD,"14,958.00","5,960,164.68"
371,000412,2/4/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"NEW, NPS1: 24 - SCHED.1 S-140 NPS2: 1 - SCHED.2 S-80S   SWEEPOLET MSS-SP-97 B564-UNS N06625 BE NACE MR0175 / ISO 15156",2.00,PCE,15.38,15.38,280.00,USD,"14,958.00","4,188,240.00"
372,000412,2/4/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"NEW, NPS1: 24 - SCHED.1 S-140 NPS2: 1.5 - SCHED.2 S-80S   SWEEPOLET MSS-SP-97 B564-UNS N06625 BE NACE MR0175 / ISO 15156",1.00,PCE,7.69,7.69,231.54,USD,"14,958.00","3,463,375.32"
373,000412,2/4/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"NEW, NPS1: 24 - SCHED.1 S-140 NPS2: 4 - SCHED.2 S-80S   SWEEPOLET MSS-SP-97 B564-UNS N06625 BE NACE MR0175 / ISO 15156 ",1.00,PCE,7.69,7.69,888.46,USD,"14,958.00","13,289,584.68"
374,000412,2/4/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"NEW, NPS1: 28 - SCHED.1 S-39.0 NPS2: 2 - SCHED.2 S-80S SWEEPOLET MSS-SP-97 B564-UNS N06625 BE NACE MR0175 / ISO 15156",6.00,PCE,46.15,46.15,"1,938.46",USD,"14,958.00","28,995,484.68"
375,000412,2/4/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"NEW, NPS1: 30 - SCHED.1 S-55.50 NPS2: 2 - SCHED.2 S-80S   SWEEPOLET MSS-SP-97 B564-UNS N06625 BE NACE MR0175 / ISO 15156",1.00,PCE,33.33,33.33,355.38,USD,"14,958.00","5,315,774.04"
376,000412,2/4/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"NEW, NPS1: 10 - SCHED.1 S-140 NPS2: 2 - SCHED.2 S-80S   SWEEPOLET MSS-SP-97 B564-UNS N06625 BE NACE MR0175 / ISO 15156 ",1.00,PCE,8.25,8.25,191.15,USD,"14,958.00","2,859,221.70"
377,000412,2/4/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"NEW, NPS1: 12 - SCHED.1 S-140 NPS2: .75 - SCHED.2 S-80S   SWEEPOLET MSS-SP-97 B564-UNS N06625 BE NACE MR0175 / ISO 15156 (WHP12N-NG260230937-F25B-S01 Pos 8)",5.00,PCE,16.67,16.67,498.08,USD,"14,958.00","7,450,280.64"
378,000412,2/4/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"NEW, NPS1: 12 - SCHED.1 S-140 NPS2: 2 - SCHED.2 S-80S   SWEEPOLET MSS-SP-97 B564-UNS N06625 BE NACE MR0175 / ISO 15156 ",3.00,PCE,17.14,17.14,573.46,USD,"14,958.00","8,577,814.68"
379,000412,2/4/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"NEW, NPS1: 28 - SCHED.1 S-39.0 NPS2: 2 - SCHED.2 S-80S   SWEEPOLET MSS-SP-97 B564-UNS N06625 BE NACE MR0175 / ISO 15156 ",3.00,PCE,24.75,24.75,969.23,USD,"14,958.00","14,497,742.34"
